R990604,R829866
R671416,R464983
R486387,R614490
R765267,R147633
R870900,R831144
R289691,R988866
R975831,R874876
R155961,R865556
R689215,R282052
R616732,R694286
R570220,R464196
R283384,R198188
R482892,R216313
R916423,R318691
R873633,R309668
R246836,R941510
R194336,R978382
R581817,R117721
R194624,R736384
R213997,R166987
R722077,R638664
R715932,R476241
R837820,R842198
R689715,R777958
R968477,R987920
R436669,R167611
R308250,R641415
R437078,R867933
R380700,R872086
R833226,R944790
R362165,R616943
R977940,R437867
R824250,R816860
R260452,R158827
R597307,R846831
R189128,R789976
R911271,R681516
R856544,R995329
R742451,R721584
R786226,R520170
R614071,R484037
R172807,R801460
R283726,R255354
R857956,R454049
R469861,R223816
R678867,R767179
R876716,R675816
R921214,R746335
R154367,R660377
R633892,R748514
R519241,R205071
R831780,R641347
R313055,R106672
R290920,R636607
R719116,R733521
R217637,R499550
R115979,R923398
R408662,R148228
R482947,R740345
R843319,R367905
R584312,R159941
R670848,R136289
R265378,R241636
R490300,R174132
R694735,R225377
R367824,R201931
R116561,R449349
R618808,R343027
R325242,R434792
R944289,R231431
R584986,R222411
R173282,R172514
R868037,R370559
R285475,R403136
R752022,R362836
R366260,R517772
R785213,R848559
R799154,R109661
R516359,R600739
R462313,R914491
R849290,R348817
R504525,R124472
R453950,R737165
R575097,R726297
R529560,R484956
R543135,R356017
R426838,R129142
R473828,R432549
R669455,R664910
R729348,R873583
R833130,R277079
R144459,R552042
R939368,R962807
R990735,R936151
R847525,R835128
R579891,R399438
R720323,R172284
R900016,R776154
R411697,R709413
R145190,R138683
R118682,R916384
R532333,R826836
R671196,R933733
R736740,R377257
R132151,R843959
R785667,R193735
R283462,R725876
R733566,R546705
R688784,R599797
R587581,R653549
R934033,R725529
R838385,R561078
R221821,R735287
R248299,R394974
R917578,R242715
R623898,R679807
R665906,R539277
R222434,R494083
R958741,R123871
R382576,R553051
R389653,R341102
R183905,R799779
R174777,R140699
R672268,R406934
R980118,R846883
R405131,R744895
R102901,R273879
R603738,R739881
R366709,R702182
R574263,R456396
R590658,R488030
R631018,R584831
R202164,R788583
R177560,R572321
R370160,R100967
R538421,R948897
R548242,R732162
R856196,R261141
R885423,R166126
R312166,R952288
R315564,R491129
R478152,R503667
R505141,R281912
R426901,R466960
R967385,R689712
R179356,R993294
R512256,R920901
R532716,R778892
R371135,R725056
R949913,R471062
R446224,R561787
R355271,R370032
R951286,R699239
R924096,R627926
R230363,R726775
R123099,R781721
R600280,R603999
R503430,R498445
R478003,R978277
R463099,R125357
R721569,R634699
R111784,R289578
R607810,R496561
R809858,R374479
R445509,R648614
R744863,R583571
R943093,R880928
R766655,R345668
R208583,R179407
R969015,R941274
R665969,R962429
R771778,R309302
R424206,R174332
R805516,R794214
R179350,R778774
R412911,R573505
R429200,R660859
R452246,R932199
R736387,R270138
R635106,R762795
R717768,R574150
R509377,R865529
R475762,R138215
R913403,R133214
R587510,R826067
R495189,R196165
R452493,R652947
R410319,R971383
R183261,R927438
R297792,R766688
R940708,R426561
R299433,R759017
R929531,R303320
R938980,R407383
R324722,R819210
R243633,R897709
R980878,R939169
R170692,R808222
R973551,R885882
R123214,R204558
R989335,R432080
R255410,R815837
R855546,R695245
R107593,R535779
R956574,R488345
R323603,R441741
R303328,R170052
R212693,R968531
R551535,R780400
R957084,R849222
R904829,R184606
R127683,R684040
R381189,R866545
R146567,R431133
R649702,R990656
R729964,R601476
R153537,R990238
R159310,R306054
R891137,R923184
R250785,R942042
R773847,R476965
R476738,R490444
R548162,R215679
R944437,R968845
R426107,R730234
R801500,R705664
R229811,R746411
R152505,R978236
R692677,R502077
R898242,R859526
R534656,R536898
R283665,R316445
R250386,R752375
R469461,R987179
R138276,R653348
R224256,R886645
R769926,R243848
R162069,R314752
R150260,R950861
R301632,R356633
R231173,R218620
R740420,R150719
R979497,R985901
R968623,R630681
R511593,R879579
R217496,R209468
R680285,R170141
R188270,R124307
R579277,R505599
R483341,R636147
R494229,R748070
R530593,R909506
R932591,R876854
R284914,R119073
R588129,R337888
R259290,R931728
R435578,R714597
R715168,R823298
R666363,R628908
R460573,R738442
R547659,R434102
R105248,R584595
R990353,R766829
R360254,R255921
R688103,R194303
R449465,R234303
R108448,R334226
R149668,R860383
R709506,R208045
R742436,R493158
R219407,R657291
R206080,R750824
R177794,R979347
R216255,R542693
R236100,R512587
R860167,R250794
R455382,R845313
R123873,R386095
R991725,R634301
R775865,R876373
R506149,R924356
R462774,R576819
R833386,R549432
R951588,R841847
R517432,R780416
R428802,R824142
R756121,R620735
R829179,R443545
R552712,R619881
R688941,R331518
R861919,R171816
R129136,R600335
R283241,R926531
R912928,R141851
R815997,R555539
R962857,R221146
R871368,R889196
R481786,R238310
R675818,R966858
R359560,R963361
R836883,R846953
R108498,R528821
R512286,R396601
R202223,R148013
R673832,R944502
R785040,R233878
R935544,R887928
R317601,R218357
R598599,R290498
R452708,R166876
R724058,R549057
R196055,R990408
R174034,R235909
R720504,R657350
R378318,R369834
R620193,R981984
R549415,R847211
R176216,R161726
R205766,R311613
R641602,R772059
R299422,R931565
R892138,R311527
R683688,R355195
R754819,R729030
R503469,R663183
R718608,R878449
R315563,R830761
R241139,R148031
R479740,R889486
R962288,R746440
R504316,R290751
R229395,R650906
R480896,R769772
R607753,R511340
R882935,R563552
R682002,R356669
R252055,R931123
R302561,R181580
R555111,R657894
R273297,R790786
R342435,R114586
R548735,R453337
R936903,R518647
R604427,R391156
R212502,R633907
R567761,R648778
R198723,R738776
R343801,R605303
R686580,R465064
R566332,R910658
R171530,R940431
R226297,R296127
R658853,R729371
R243784,R215231
R712328,R194219
R436878,R411442
R679517,R186666
R347936,R323817
R193642,R289259
R935793,R556330
R234400,R697763
R520076,R226657
R369229,R549922
R268662,R677749
R461492,R692900
R574820,R274603
R612492,R722842
R711917,R345903
R725345,R309091
R635115,R264413
R617840,R960302
R986426,R277434
R134929,R659062
R886126,R265203
R679644,R706478
R555938,R924513
R906711,R149316
R771609,R767915
R766894,R487380
R766565,R897317
R293665,R842260
R736065,R160579
R626474,R920900
R663339,R971270
R852030,R273613
R992811,R101891
R219569,R740973
R635298,R575721
R917031,R892407
R313476,R797142
R617604,R276988
R390395,R347404
R634773,R179092
R100698,R692245
R404697,R378339
R223654,R632062
R245930,R455707
R181151,R476949
R219233,R988458
R788949,R171598
R167447,R557488
R399188,R563286
R174380,R615603
R583560,R797492
R713285,R438583
R427164,R365396
R141864,R543919
R904585,R680721
R365656,R330856
R560987,R481689
R209724,R758848
R612081,R490640
R574084,R131138
R102088,R734480
R563882,R459809
R901090,R810590
R864807,R938462
R315555,R660094
R161496,R637183
R762713,R805155
R169051,R993372
R999404,R411135
R865526,R970033
R577274,R379568
R245091,R631972
R772755,R899629
R681530,R930223
R131843,R910494
R166527,R362316
R435079,R595962
R336539,R630142
R153087,R832672
R356136,R483940
R356035,R738681
R480912,R904399
R105916,R279207
R293359,R692163
R230216,R839777
R779224,R826351
R699343,R333207
R550104,R811400
R588545,R297048
R558141,R805390
R349600,R813388
R730525,R693844
R857088,R522329
R484434,R433804
R485199,R312930
R232074,R608597
R897288,R606071
R464585,R103280
R501656,R917818
R644495,R902480
R587787,R241589
R454515,R473203
R798826,R763447
R432412,R506302
R125343,R800971
R117460,R946687
R145334,R214171
R777327,R825620
R359400,R643698
R780318,R811996
R429305,R427989
R281785,R139577
R100793,R913646
R113808,R652422
R884423,R404104
R907761,R265405
R198576,R856944
R995300,R945968
R659663,R751831
R567289,R773460
R916170,R248803
R880687,R605455
R204821,R857417
R992767,R491516
R134672,R531494
R332083,R656807
R784962,R688463
R343367,R453512
R320267,R361639
R311143,R255553
R807467,R502015
R495451,R278854
R149463,R990008
R727030,R455815
R835782,R227747
R794282,R994353
R233149,R495521
R993847,R315842
R858289,R463085
R455680,R911607
R860350,R961168
R817848,R260357
R767685,R625044
R639473,R249892
R307711,R380495
R714793,R294372
R279737,R245464
R291253,R729625
R789796,R269777
R677936,R637872
R215386,R727294
R560367,R874000
R770719,R835352
R692157,R625989
R560931,R295002
R144314,R830997
R615396,R332882
R183611,R347646
R494261,R501045
R842304,R438921
R811121,R999241
R660164,R193662
R135646,R917011
R550000,R136683
R311174,R540528
R271123,R926967
R409734,R406309
R291723,R283691
R925515,R115695
R452665,R833644
R278924,R603218
R971671,R710343
R246699,R808432
R943256,R484690
R828690,R308902
R877991,R161426
R618469,R230220
R238392,R159315
R852712,R773841
R665038,R552945
R682029,R182409
R500286,R875542
R671619,R856117
R946582,R543207
R114550,R408965
R699817,R692678
R273012,R569441
R934369,R116844
R713094,R135212
R717559,R906979
R827227,R441238
R638226,R753985
R530928,R625645
R196144,R887983
R673718,R104015
R727241,R464814
R935468,R905733
R696902,R200026
R342980,R492161
R919912,R239217
R189800,R196326
R600685,R632489
R696458,R100600
R880519,R234113
R463211,R435275
R988793,R317978
R457266,R565032
R217995,R253571
R779029,R937725
R522085,R613089
R349919,R660406
R413568,R915766
R512954,R797723
R511260,R868948
R337440,R567272
R145673,R642747
R459535,R593972
R181992,R852012
R318157,R870116
R782845,R309006
R221114,R903245
R771726,R486297
R101283,R798877
R407355,R816599
R476037,R232853
R886195,R797208
R950060,R835466
R505316,R633581
R961673,R719194
R957308,R617886
R214029,R706625
R575140,R509009
R890262,R384769
R849492,R972035
R729191,R322281
R238943,R480042
R597695,R661985
R834541,R985962
R826682,R609867
R549723,R441719
R751501,R820023
R595894,R858662
R525244,R843603
R132404,R424377
R389836,R311170
R705652,R327142
R347891,R770918
R175901,R687029
R899523,R676427
R383704,R143705
R282991,R795278
R244069,R610553
R796995,R240453
R666043,R800817
R676282,R293472
R199031,R982213
R826750,R480364
R200438,R738680
R315255,R580942
R416383,R894366
R955648,R400884
R643865,R975322
R486759,R795849
R117668,R689391
R134879,R774606
R417410,R266687
R317997,R655053
R985661,R618416
R846300,R395051
R465743,R758643
R983238,R441533
R798510,R786657
R892020,R231545
R498775,R498457
R717761,R593563
R315327,R474856
R143407,R473893
R592273,R922742
R870065,R997531
R491822,R641112
R308448,R790958
R752669,R838820
R829006,R297841
R988319,R368250
R523578,R972515
R510539,R147646
R801571,R681239
R529752,R654172
R138536,R583601
R406039,R694246
R500456,R192719
R554907,R644878
R165226,R891187
R911310,R954175
R585702,R459763
R588049,R712457
R521513,R484499
R233789,R593820
R855842,R527550
R164661,R741538
R163543,R130163
R683902,R310653
R740368,R648445
R987443,R819775
R812098,R520552
R752323,R627169
R626288,R251179
R835780,R775505
R472544,R757887
R504026,R181909
R796746,R101858
R153810,R858032
R509024,R530346
R880467,R158983
R669571,R492946
R440227,R944704
R418174,R551129
R271682,R212461
R987067,R423559
R918147,R450181
R563896,R633318
R715016,R810950
R420753,R769421
R413746,R971720
R428437,R335513
R921786,R987054
R701974,R511296
R994160,R594253
R865660,R503044
R354839,R831532
R152050,R982736
R953596,R871851
R598791,R615522
R882936,R371295
R230948,R198550
R644225,R699003
R524508,R362845
R316481,R246130
R312108,R344186
R472752,R321729
R332874,R306967
R440283,R197763
R936016,R269401
R759003,R479022
R855167,R873256
R242983,R510080
R602419,R966699
R185909,R304163
R965995,R655357
R505341,R613560
R298768,R583397
R274394,R956234
R261304,R714582
R249531,R915256
R710101,R620772
R525750,R327720
R230111,R308556
R729861,R660032
R929935,R895837
R968534,R951288
R358841,R222823
R899819,R863965
R258638,R858024
R594108,R117255
R889818,R665541
R505881,R294828
R308404,R757779
R193010,R564927
R287921,R386687
R676764,R821486
R104751,R178222
R689494,R738236
R583584,R171258
R452854,R468230
R462264,R863177
R531315,R374248
R569497,R805318
R511594,R821185
R688348,R682627
R396716,R363889
R351010,R526648
R571778,R742146
R542932,R399688
R761511,R944888
R829807,R132397
R384872,R125649
R451613,R864700
R883508,R569783
R582118,R773285
R864077,R213377
R258980,R218912
R426779,R722717
R211795,R851507
R872658,R933126
R870875,R170644
R560068,R936027
R537695,R899953
R183604,R311062
R185299,R540956
R791526,R915152
R393926,R783507
R133805,R395450
R764699,R106250
R601882,R712699
R624811,R930606
R267779,R136392
R636708,R224567
R297468,R857321
R936801,R338203
R553345,R839366
R534075,R318087
R435164,R127756
R363699,R514984
R589063,R418618
R919305,R583545
R218674,R395802
R485672,R992173
R785459,R625707
R958236,R334006
R467688,R400061
R962273,R271029
R319087,R902228
R495167,R814255
R716963,R669337
R447123,R559824
R415883,R314791
R574660,R824676
R887776,R727300
R593302,R665188
R816618,R523304
R300363,R288700
R226323,R855268
R513514,R729350
R680640,R192774
R727975,R997470
R338070,R217842
R350498,R749147
R317681,R167214
R629512,R501269
R896501,R198280
R749187,R517307
R571084,R875599
R371555,R281151
R140440,R325812
R275465,R597842
R656179,R644332
R374490,R826415
R291123,R422922
R210075,R758733
R318815,R597914
R541606,R227966
R496294,R743871
R599027,R918574
R852055,R991404
R892913,R951273
R974921,R726901
R907007,R570040
R882787,R495422
R409985,R759249
R192400,R380325
R920833,R791507
R956999,R109089
R450897,R946259
R478517,R728460
R612928,R459470
R444870,R396385
R391177,R832514
R145746,R662537
R890299,R278060
R322649,R796479
R270198,R354930
R697269,R499506
R827623,R760713
R358843,R749208
R175552,R783827
R857667,R895944
R984322,R777741
R193310,R877107
R107165,R620440
R582966,R104119
R844301,R305244
R269058,R700246
R585043,R844361
R414047,R224942
R750564,R425184
R800246,R655283
R457901,R664583
R938029,R976582
R488909,R427724
R373990,R529003
R178100,R907275
R945405,R642278
R575911,R914677
R356144,R261027
R341548,R400583
R272823,R964950
R940900,R678517
R231884,R329850
R349506,R875127
R190310,R820908
R801090,R341770
R804053,R818970
R544358,R705502
R985094,R251037
R132296,R802294
R410512,R730939
R284919,R765240
R675838,R813326
R137330,R625037
R746353,R454957
R978700,R815081
R681557,R670828
R217355,R976245
R725811,R169081
R551407,R576944
R810745,R103675
R587157,R528077
R823211,R478347
R477815,R701120
R359713,R260728
R384898,R690824
R639922,R211875
R791615,R874555
R794688,R725633
R880046,R235091
R330694,R519378
R344496,R595357
R644348,R686844
R811753,R828846
R160812,R717384
R513642,R593414
R314455,R893617
R149563,R360772
R184856,R130777
R620233,R219656
R454648,R803721
R282886,R110794
R287598,R744112
R110094,R118278
R950313,R382951
R744668,R392996
R325520,R918523
R104678,R998413
R724870,R577730
R197315,R431927
R834160,R513915
R635880,R736440
R752652,R716159
R643528,R568344
R145685,R952867
R594755,R222089
R514956,R174947
R425881,R903151
R813851,R608102
R733594,R385787
R958022,R448055
R950254,R840950
R525246,R123168
R123682,R142494
R617799,R279890
R456055,R293380
R422977,R810128
R461108,R486171
R693042,R149233
R411545,R978654
R296359,R763026
R467648,R407022
R236106,R938497
R700765,R782256
R155661,R525518
R476771,R428678
R908116,R366742
R509665,R157542
R108916,R296334
R620385,R281065
R272626,R511595
R472971,R320642
R341562,R583659
R719354,R345689
R527467,R335823
R272887,R652334
R683242,R847378
R503227,R888455
R634270,R307908
R428368,R221951
R228479,R568725
R290157,R684217
R871344,R656487
R908199,R610093
R933070,R817333
R978635,R132364
R536323,R112819
R737163,R142181
R770237,R474615
R946830,R832889
R804749,R933417
R833038,R556368
R955223,R895504
R504265,R678535
R832578,R282602
R693757,R677090
R527996,R765635
R966843,R653828
R923817,R171821
R132069,R752455
R706790,R607998
R898577,R374942
R820900,R380388
R183694,R536277
R231053,R604058
R595663,R565277
R719919,R811825
R278611,R828249
R532490,R986540
R276026,R198077
R822292,R823653
R993503,R677077
R329722,R118189
R174642,R588311
R936135,R653148
R234037,R173925
R857586,R180556
R200673,R525654
R944395,R885985
R160534,R695210
R870167,R545433
R349106,R936684
R824156,R384904
R143910,R372057
R587002,R123074
R597192,R298355
R237046,R270343
R827193,R199428
R658068,R377543
R760998,R844636
R571413,R736829
R749405,R862347
R168389,R861493
R613888,R795621
R226495,R336086
R859021,R919136
R564320,R150692
R608347,R289948
R910088,R657665
R992443,R321802
R545531,R640665
R668987,R895386
R263385,R184399
R977947,R971357
R541547,R704488
R546342,R231599
R644930,R243470
R554025,R997363
R577444,R734847
R428589,R858084
R432527,R813308
R106160,R736009
R387815,R556175
R567425,R913536
R482113,R857307
R938555,R138946
R301697,R435689
R766049,R821607
R457760,R416109
R960841,R349946
R567697,R508126
R588803,R826261
R741591,R227214
R719960,R368990
R477998,R317395
R613025,R107217
R369696,R917778
R430789,R512468
R950807,R121778
R766287,R491076
R265727,R118935
R459153,R736166
R914776,R962077
R678839,R648020
R135520,R276243
R894805,R726526
R669217,R659033
R779582,R911865
R220316,R763135
R230924,R419063
R450981,R883395
R660881,R200315
R383281,R882030
R967911,R934806
R787891,R309851
R519928,R352575
R816087,R438179
R380313,R706450
R721274,R317431
R118508,R197438
R467034,R434842
R353314,R734752
R509180,R359847
R667447,R969814
R528322,R133520
R538959,R914210
R578852,R723732
R902790,R684537
R896255,R800647
R927991,R215394
R332978,R931405
R467749,R555138
R902794,R374609
R921304,R499115
R810959,R629982
R210572,R754530
R641325,R565072
R971613,R763083
R199483,R428392
R975431,R653754
R249377,R719411
R608843,R394068
R657950,R300190
R339224,R338499
R700984,R324062
R856439,R392577
R142738,R936123
R925591,R599395
R969393,R124155
R483818,R929323
R215286,R702857
R592422,R258578
R428914,R546666
R461949,R899047
R921090,R813219
R938600,R494595
R551146,R836890
R872689,R206332
R847729,R290165
R384655,R497795
R222422,R946126
R145858,R561994
R642270,R436481
R985090,R639491
R310673,R554515
R827150,R221617
R593423,R699903
R538289,R584101
R765627,R653967
R109415,R312599
R480949,R185840
R667906,R905756
R481585,R235087
R910837,R411013
R997842,R420170
R243176,R937643
R102258,R464781
R441389,R431337
R889877,R777508
R393140,R253088
R280723,R184970
R876620,R121230
R115196,R259090
R862904,R113131
R853385,R116799
R601072,R654119
R951850,R280133
R730401,R876436
R932747,R552519
R433039,R157036
R156935,R611565
R724476,R172130
R568890,R623626
R690879,R964942
R294348,R259507
R811138,R931459
R918667,R897463
R580170,R859235
R718965,R819533
R317046,R230467
R456153,R812083
R807955,R638455
R108423,R243773
R233139,R640530
R147122,R749480
R756392,R640987
R881188,R180634
R505743,R833230
R783598,R762674
R335873,R266086
R791317,R773770
R249859,R457313
R729636,R841237
R675996,R322673
R853919,R674486
R764665,R360835
R752111,R326332
R165373,R991426
R598709,R560884
R401354,R303898
R460083,R661667
R647162,R583876
R567855,R972768
R238593,R352055
R738067,R653089
R662047,R470420
R865301,R845902
R612027,R604433
R827461,R720859
R178330,R662852
R617278,R414556
R988035,R787307
R998788,R904171
R103516,R325543
R734773,R914822
R529015,R818126
R558569,R561740
R285693,R114155
R923891,R787862
R249471,R961712
R114720,R907120
R395589,R168518
R147434,R246019
R668243,R530012
R294457,R960078
R784213,R927691
R868233,R101596
R485805,R552806
R945061,R114757
R854229,R754427
R455074,R636547
R248763,R684182
R850431,R359997
R652515,R132373
R523741,R229097
R655018,R447349
R102163,R470178
R139242,R612058
R731711,R705731
R225275,R503252
R588279,R326143
R375555,R366671
R963758,R440565
R242404,R376214
R694238,R244792
R199338,R871884
R560249,R964286
R677612,R470037
R204141,R280901
R171709,R166866
R652234,R991764
R225177,R258137
R988528,R733305
R400308,R697817
R331910,R322966
R345364,R561832
R739477,R126075
R358834,R736827
R755028,R988781
R833664,R709134
R991096,R841247
R568927,R748719
R895483,R869238
R593577,R995839
R104338,R833152
R670906,R606631
R163636,R938213
R985060,R382343
R401323,R933450
R675723,R969782
R347413,R756219
R687996,R419145
R633592,R502996
R667720,R532428
R437606,R897856
R350804,R165504
R421316,R328987
R756021,R729719
R198171,R780372
R651070,R111164
R213862,R379726
R334125,R130196
R320004,R759458
R949511,R240132
R773158,R688799
R915306,R322150
R776715,R408697
R213150,R222385
R507163,R870547
R903046,R491532
R267399,R296518
R979893,R171364
R238497,R786263
R332406,R749497
R176831,R778821
R941715,R146233
R331318,R910768
R754330,R850557
R720165,R836014
R777389,R784566
R783988,R555548
R725141,R790280
R532583,R574566
R582338,R908766
R872487,R450237
R180185,R932606
R663993,R286915
R629424,R548714
R642411,R296882
R747374,R189054
R961516,R599974
R447512,R772604
R203323,R464379
R330051,R787432
R709626,R238660
R547848,R907705
R485177,R470941
R327194,R639070
R199593,R834636
R331292,R934375
R682027,R976676
R206204,R622541
R715766,R889295
R413705,R931518
R998898,R837185
R146303,R328887
R401174,R605165
R267822,R763536
R431531,R948962
R765291,R632211
R719593,R374951
R907756,R705251
R762879,R802041
R287295,R557179
R906211,R273874
R850553,R940407
R216681,R178781
R628046,R394283
R920013,R423386
R790621,R231709
R845776,R687821
R199106,R610628
R688390,R821829
R158596,R930159
R193145,R764758
R334301,R593603
R357521,R205706
R649575,R151929
R512611,R798154
R747767,R141637
R497335,R324112
R405512,R566209
R848532,R180515
R445587,R809497
R545288,R966929
R225799,R252549
R184657,R638816
R512921,R746095
R755356,R388726
R988395,R894409
R370476,R219335
R405830,R702173
R990955,R608110
R668307,R486594
R435005,R633142
R981622,R582045
R639765,R293353
R161546,R661220
R344754,R175141
R103617,R439266
R181094,R803488
R698162,R465882
R334151,R349364
R193171,R215923
R564541,R135428
R120090,R430366
R156855,R225417
R274815,R671162
R993039,R288110
R144167,R682418
R747979,R446231
R181228,R514370
R268491,R265002
R131352,R992964
R853614,R671165
R976708,R170972
R301630,R474213
R324131,R315115
R152053,R529731
R845561,R276034
R944264,R492013
R854976,R285268
R980092,R554849
R703133,R163441
R351743,R746175
R416212,R472518
R789722,R168539
R685673,R465693
R486760,R198816
R734659,R181070
R445068,R636499
R164634,R680446
R214660,R376023
R744013,R539849
R111769,R986616
R671291,R369780
R955621,R962677
R432288,R238044
R468409,R418367
R288335,R584230
R399083,R157819
R225727,R137666
R257968,R525370
R853257,R166112
R753550,R788193
R232494,R445043
R246364,R385426
R232630,R236723
R111255,R471951
R394389,R649299
R171049,R732687
R354847,R839127
R911603,R549494
R635706,R340285
R335814,R947955
R400058,R724421
R998039,R616804
R944146,R173701
R895474,R401210
R160290,R379424
R491727,R782518
R257490,R936044
R371348,R160892
R295226,R280029
R785780,R233170
R231093,R308911
R745967,R684619
R645191,R872940
R441347,R701359
R416743,R564101
R858997,R407397
R276308,R955866
R485192,R472142
R784667,R495057
R788695,R240624
R111049,R110887
R174365,R765512
R908783,R539117
R208538,R691759
R275597,R678738
R129881,R561549
R781047,R192226
R341154,R109710
R252059,R585742
R118353,R376922
R679029,R660760
R915065,R309065
R223761,R905073
R981266,R980187
R971273,R456835
R635313,R858168
R260693,R731433
R306512,R787334
R407029,R222451
R365517,R281787
R642846,R956158
R157900,R962542
R293006,R551533
R737318,R684303
R472894,R387358
R519401,R339979
R210686,R887774
R811876,R916283
R450379,R498165
R143331,R106823
R921623,R669646
R681332,R723716
R778071,R187345
R234780,R201913
R303366,R989355
R667671,R440358
R519973,R845492
R796669,R189680
R793903,R400125
R551081,R700057
R362040,R998061
R186341,R847850
R769600,R214998
R236498,R968581
R481278,R237024
R557606,R200063
R416300,R824758
R273555,R880021
R383107,R286324
R718681,R394454
R785727,R580864
R605748,R489517
R908403,R671737
R716422,R532065
R348682,R654325
R642997,R386335
R368852,R843124
R735445,R179839
R725988,R820379
R243888,R439254
R600979,R237403
R364118,R378900
R707799,R110217
R640399,R956163
R372802,R349755
R786321,R268017
R258725,R838373
R348517,R859993
R408884,R593590
R861031,R484687
R917864,R340952
R178328,R614890
R873811,R107168
R120881,R390871
R652733,R770581
R138811,R271845
R816790,R989766
R485166,R136523
R553086,R969122
R404382,R766832
R465611,R122692
R271852,R763396
R211027,R616145
R558704,R518029
R591379,R949751
R112993,R537065
R994718,R162155
R254499,R583010
R578735,R547594
R154935,R350349
R692062,R225312
R599784,R354255
R836520,R664877
R100991,R868887
R824109,R675018
R201061,R150876
R553012,R368506
R317595,R940131
R625737,R788903
R558588,R781307
R174129,R652793
R806776,R746290
R271857,R240985
R462332,R806592
R345949,R181821
R995034,R670638
R946223,R801052
R879763,R235661
R803082,R641869
R655365,R517013
R148714,R386417
R747597,R330535
R210970,R831354
R723211,R170811
R861374,R269510
R645201,R732906
R361692,R471540
R787782,R206154
R775315,R411989
R532100,R420282
R994678,R761182
R467701,R584036
R958316,R807423
R309907,R313684
R463302,R145088
R633922,R226779
R378578,R121706
R304717,R436341
R225326,R177645
R799320,R914099
R248022,R908958
R969826,R855822
R815287,R432367
R867362,R268665
R706307,R552086
R133192,R106552
R175895,R772446
R280581,R447479
R915940,R917716
R431911,R305554
R470872,R126131
R782772,R707392
R513395,R677487
R400246,R235215
R890363,R688313
R718708,R795148
R526483,R595391
R285134,R750544
R772036,R608765
R732510,R781024
R276086,R180722
R373082,R906751
R626445,R702785
R359992,R870615
R949560,R180166
R446755,R101944
R957093,R458534
R118319,R888379
R956990,R851076
R149856,R224546
R412294,R422687
R188758,R100108
R563660,R176435
R403701,R691129
R434381,R299768
R563448,R995241
R503848,R662110
R229033,R180534
R136002,R991638
R149968,R785938
R342172,R295430
R390028,R677954
R143802,R875601
R770121,R472003
R233023,R807272
R344661,R847241
R496671,R453826
R954269,R627958
R351800,R469120
R856206,R439204
R539384,R869987
R288339,R257707
R405967,R519547
R809756,R374964
R894067,R785289
R132907,R219243
R948556,R839341
R453522,R806163
R543682,R844805
R790284,R808883
R402354,R414824
R733755,R316678
R665892,R836898
R324691,R720034
R535535,R259205
R765258,R681210
R643006,R489834
R510873,R479703
R467391,R462673
R393071,R948809
R919794,R740365
R654341,R876758
R635427,R173938
R919455,R938211
R689363,R772889
R576826,R783311
R563951,R425300
R185526,R495951
R717467,R248791
R565822,R915493
R863993,R598067
R610590,R672042
R958884,R862759
R955016,R735545
R199010,R982085
R776081,R562508
R182389,R378187
R477217,R776326
R674182,R446154
R997288,R221435
R634170,R778919
R333162,R212475
R368269,R397003
R799547,R500128
R182640,R973865
R410644,R914995
R274437,R640426
R977496,R269617
R376061,R888491
R545558,R767899
R349218,R942104
R542993,R480140
R933102,R396098
R995689,R808163
R111513,R572597
R500356,R369210
R880710,R210860
R954162,R984325
R656640,R148466
R343386,R690200
R314987,R421746
R774866,R244199
R726346,R837520
R702169,R422760
R499224,R758816
R368738,R393557
R578004,R998068
R882943,R748787
R311196,R812856
R135559,R694796
R341138,R664871
R359371,R841537
R285494,R291061
R911023,R864274
R423121,R613510
R220078,R970534
R178153,R154330
R916645,R726941
R943880,R297572
R674298,R608996
R239695,R600068
R344141,R624733
R672869,R520932
R668318,R710001
R716579,R561408
R653801,R208915
R371654,R704187
R445365,R437585
R954044,R125506
R419127,R642156
R250178,R861401
R923928,R625129
R481251,R895056
R197868,R414845
R533589,R797733
R312452,R273060
R280108,R734319
R764382,R169847
R354647,R224654
R167062,R655206
R362249,R366725
R190112,R184080
R455832,R440975
R356748,R242608
R370490,R803760
R242802,R108335
R463458,R169716
R154276,R969569
R714995,R114429
R840863,R191923
R743877,R559145
R227770,R568232
R552449,R328961
R484406,R302502
R903391,R595629
R312913,R499368
R157457,R424975
R677131,R418059
R745036,R990224
R144147,R786672
R132221,R748421
R577732,R347902
R946441,R863596
R933077,R195599
R503868,R609370
R226423,R614798
R969399,R916473
R185101,R864886
R342272,R602497
R908066,R610902
R677349,R590825
R225880,R189846
R125145,R662958
R152189,R763416
R966740,R660707
R643805,R953172
R545809,R374698
R208846,R220779
R119932,R390902
R292199,R906447
R329389,R872886
R910321,R415697
R377771,R538781
R406228,R603382
R996711,R846662
R672839,R154483
R296004,R816987
R566300,R135352
R312570,R914957
R682149,R421448
R698499,R485118
R194309,R931742
R546080,R119249
R967631,R997147
R199637,R803278
R250623,R342036
R652313,R730111
R683949,R448730
R230588,R369386
R888847,R398910
R200751,R659382
R166701,R952564
R225210,R764062
R830250,R493330
R323333,R374266
R176406,R770996
R826251,R135580
R368075,R222190
R536238,R582841
R471766,R251707
R270976,R665631
R684917,R876063
R793139,R548896
R256558,R407004
R472051,R810211
R579595,R566749
R590654,R956516
